Loan Term (months),Default Amount,Servicer Fee,SeniorLoanStatus,OutstandingBalance,Product,TotalInterestPaid,Default - Servicer Definition,Unique ID,Employer,Bucket,MaxArrears,TermOutstanding,APR/Interest Rate,LoanStatus,Start Date,CCJ_LTM,OPB,PurposeOfLoan,Unnamed: 16,DelinquentEver,DelinquentEverDate,BorrowerStatus,Default Date,TotalCapitalPaid,Original Principal Balance,MonthlyPayment,Credit Score,DelinquentAccountStatus,MaxArrearsDate,Seasoning,Currency_Name,Eligibility Flag,Days Past Due,Status of Loan,Country,LTV (for secured products),Currency
60,,1.00,Default,0.00,Neyber Loan,746.90,Non Default,5995,Police Mutual,Great,0,0,4.90,Repaid,2017-02-02,0,0.00,Wedding loan,0,0,, ,,10000.00,"10,000",187.77,485,Closed,,77,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,1740.24,Non Default,12646,Police Mutual,Great,0,0,6.90,Repaid,2018-01-23,0,0.00,Debt Consolidation,0,0,, ,,20000.00,"20,000",393.11,445,Closed,,66,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
24,,1.00,Default,0.00,Neyber Loan,262.09,Non Default,35262,Police Mutual,Great,0,0,8.90,Repaid,2019-09-28,0,0.00,Home Improvements,0,0,, ,,3000.00,"3,000",136.54,490,Closed,,46,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,,1.00,Default,0.00,Neyber Loan,516.20,Non Default,23600,Police Mutual,Great,0,0,4.90,Repaid,2018-03-08,0,0.00,Home Improvements,0,0,, ,,5500.00,"5,500",126.15,472,Closed,,64,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,380.86,Non Default,11868,Police Mutual,Great,0,0,4.90,Repaid,2017-11-16,0,0.00,Car purchase,0,0,, ,,5000.00,"5,000",149.39,448,Closed,,68,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Up-To-Date,2373.93,Neyber Loan,2029.28,Non Default,35523,Police Mutual,Good,0,19,13.90,Active,2019-10-11,0,2143.94,Debt Consolidation,0,0,,,,3456.06,"5,600",127.89,389,Up-To-Date,,45,,Eligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,2.00,Default,0.00,Neyber Loan,3233.99,Non Default,34704,Police Mutual,OK,0,0,18.90,Repaid,2019-09-04,0,0.00,Debt Consolidation,0,0,, ,,10000.00,"10,000",249.2,213,Closed,,46,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,1841.16,Non Default,6130,Police Mutual,Great,0,0,4.90,Repaid,2017-02-07,0,0.00,Debt Consolidation,0,0,, ,,15000.00,"15,000",281.65,432,Closed,,77,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,593.79,Non Default,29717,Police Mutual,Great,0,0,4.90,Repaid,2018-11-30,0,0.00,Car purchase,0,0,,,,5000.00,"5,000",93.88,545,Closed,,56,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,1073.54,2.00,Default,0.00,Neyber Loan,521.46,Non Default,28631,Police Mutual,Good,4,0,9.90,Repaid,2018-10-23,0,0.00,Other,0,1,2021-01-22,Deceased - Deceased - Confirmed,2021-05-22,3500.00,"3,500",112.08,368,Closed,2021-01-22,57,GBP,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
